epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1073.18,0.22625,1.67721,1.0049,0.24713,0.4661,0.17081,0.17025,0.17304,1.33668,0.27245,0.00999467,0.00333156,0.00999467,0.00333156,0.00999467,0.00333156,0.00999467,0.00333156
2,2039.32,0.19376,1.30683,0.9473,0.11128,0.89577,0.15328,0.14667,0.22636,2.04669,0.25612,0.0199897,0.00666325,0.0199897,0.00666325,0.0199897,0.00666325,0.0199897,0.00666325
3,2978.45,0.20918,1.30732,0.94938,0.60251,0.35948,0.32808,0.32299,0.16367,1.14506,0.19725,0.0299651,0.00998837,0.0299651,0.00998837,0.0299651,0.00998837,0.0299651,0.00998837
4,3909.15,0.18386,1.29176,0.93938,0.46431,0.36828,0.27967,0.27954,0.10149,1.22422,0.16273,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783,0.0299335,0.00997783
5,4841.31,0.14863,1.23872,0.92477,0.52625,0.36248,0.33514,0.33405,0.08925,1.11365,0.15429,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061,0.0298818,0.00996061
6,5772.73,0.12977,1.21078,0.91628,0.55822,0.49815,0.41795,0.41678,0.09838,0.94537,0.16251,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385,0.0298155,0.0099385
7,6705.31,0.11736,1.18467,0.90963,0.43814,0.38008,0.34712,0.3466,0.12548,1.19814,0.18263,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152,0.0297346,0.00991152
8,7636.53,0.11047,1.17529,0.90845,0.48294,0.57047,0.44754,0.44754,0.0805,0.94849,0.13974,0.0296391,0.0098797,0.0296391,0.0098797,0.0296391,0.0098797,0.0296391,0.0098797
9,8568.36,0.10496,1.16609,0.9077,0.42459,0.49761,0.42334,0.42328,0.09144,1.03685,0.13254,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307,0.0295292,0.00984307
10,9507.61,0.09988,1.15194,0.90409,0.6165,0.49932,0.48832,0.48831,0.10269,0.90137,0.15887,0.029405,0.00980167,0.029405,0.00980167,0.029405,0.00980167,0.029405,0.00980167
